ballc	wgbstools	dmpp_dedup	dmpp_bam
mCFrac	ENCFF072EDU.dedup	mean_meth	mean_meth
NA	NA	NA	NA
NA	NA	NA	NA
0.766917	0.462687	0.460938	0.460317
0.480769	0.000000	0.000000	0.000000
0.942029	0.844444	0.837037	0.837037
0.723404	0.500000	0.494505	0.494505
0.633663	0.272277	0.258216	0.254717
0.888889	0.777778	0.800000	0.783133
0.882353	0.796610	0.800000	0.791304
0.504110	0.065041	0.062500	0.061497
0.796875	0.425197	0.427481	0.409091
0.642384	0.213333	0.218543	0.218543
0.609551	0.260745	0.263456	0.267062
0.891566	0.765060	0.761905	0.760479
0.827586	0.635593	0.640000	0.639344
0.843750	0.683230	0.679012	0.679012
0.855072	0.737226	0.739437	0.732394
0.550336	0.043771	0.043478	0.042345
0.473684	0.028351	0.035806	0.034913
0.967742	0.942149	0.936508	0.933884
0.742857	0.461538	0.446429	0.446429
0.836538	0.617647	0.629630	0.629630
0.819048	0.695238	0.695238	0.695238
0.948980	0.855670	0.860000	0.860000
0.900662	0.750000	0.740000	0.733333
0.756757	0.491071	0.495575	0.491071
0.753623	0.478261	0.492958	0.500000
0.573034	0.258427	0.258427	0.258427
0.824645	0.658768	0.654206	0.645631
1.000000	0.988506	0.977273	0.976744
0.841667	0.588235	0.588235	0.573913
0.806061	0.670732	0.674556	0.678788
0.868056	0.691781	0.687075	0.694444
0.861111	0.728972	0.718182	0.716981
0.828571	0.617143	0.623596	0.627119
0.762500	0.281250	0.281250	0.281250
0.946667	0.897260	0.897260	0.902098
0.926316	0.849462	0.840000	0.846939
0.963235	0.944444	0.947955	0.946360
0.701550	0.430233	0.440000	0.440329
0.548387	0.048000	0.047431	0.047431
0.727273	0.513158	0.519481	0.519481
0.958333	0.905263	0.896907	0.893617
0.903614	0.698795	0.709302	0.709302
0.926702	0.803109	0.800000	0.797927
0.928571	0.792793	0.778761	0.778761
0.951220	0.824000	0.824000	0.824000
0.882883	0.669725	0.648649	0.648649
0.916031	0.800000	0.801527	0.795276
0.658654	0.173913	0.160714	0.161435
0.539877	0.012500	0.012270	0.012821
0.916031	0.861538	0.846715	0.845588
0.879310	0.810345	0.806452	0.803279
0.991935	0.951220	0.951220	0.950820
0.950000	0.906475	0.895833	0.892617
0.911565	0.829787	0.826389	0.825175
0.922078	0.840000	0.836601	0.841060
0.946667	0.893333	0.883117	0.883117
0.970803	0.781955	0.770370	0.766917
0.622340	0.234043	0.231579	0.227513
0.920635	0.845528	0.846774	0.841667
0.460145	0.062271	0.057047	0.057047
0.490196	0.064039	0.062500	0.072398
0.930233	0.851562	0.844961	0.844961
0.922535	0.845070	0.829932	0.824324
0.860000	0.773973	0.765101	0.765101
0.860000	0.766667	0.758170	0.758170
0.901099	0.827957	0.828125	0.828877
0.814516	0.520000	0.533333	0.537879
0.825000	0.511905	0.511628	0.516854
0.700000	0.428571	0.436620	0.436620
0.830882	0.701493	0.685714	0.680556
0.754011	0.594595	0.593583	0.606742
0.690909	0.512195	0.528302	0.528302
0.929577	0.887218	0.889706	0.884058
0.536913	0.066667	0.071429	0.071429
0.682243	0.490566	0.495146	0.485714
0.765517	0.584507	0.602564	0.597403
0.668675	0.353659	0.364706	0.357895
0.767857	0.531532	0.500000	0.500000
0.764706	0.413534	0.410448	0.392857
0.745342	0.528302	0.521739	0.524691
0.827160	0.696203	0.691358	0.691358
0.694444	0.407143	0.406897	0.388489
0.991150	0.981982	0.964912	0.964912
0.776923	0.480769	0.480916	0.470817
0.735000	0.482051	0.492228	0.492228
0.837500	0.710692	0.709877	0.708861
0.906250	0.732283	0.720930	0.724409
0.496296	0.139623	0.133574	0.136531
0.668831	0.353333	0.348387	0.352941
0.961832	0.938462	0.939850	0.939394
0.935484	0.837662	0.841772	0.841772
0.756972	0.526104	0.531496	0.533597
0.867347	0.693878	0.686869	0.690000
0.725490	0.529801	0.541935	0.538961
0.835391	0.654167	0.652893	0.645570
0.693227	0.333333	0.333333	0.333333
1.000000	0.963855	0.942529	0.955556
0.934066	0.846154	0.827957	0.827957
0.983193	0.957983	0.950000	0.950000
0.992481	0.932836	0.934783	0.932836
0.727273	0.562189	0.555024	0.546341
0.775785	0.471111	0.471366	0.475556
0.869863	0.751724	0.748299	0.744828
0.925532	0.851064	0.836735	0.836735
0.895062	0.746914	0.742331	0.731707
0.605536	0.243902	0.245675	0.243902
0.960000	0.937500	0.938776	0.931818
0.943662	0.885714	0.885714	0.885714
0.955056	0.897727	0.897727	0.896552
0.701493	0.439394	0.434783	0.430769
0.946970	0.879699	0.854015	0.854015
0.731959	0.448454	0.441624	0.441624
0.798611	0.513889	0.516556	0.516556
0.652542	0.279661	0.284553	0.278689
0.540230	0.195402	0.201117	0.196629
0.943820	0.878453	0.874317	0.874317
0.777027	0.533487	0.524775	0.530093
0.765714	0.601156	0.595506	0.594286
0.818750	0.645570	0.627119	0.625000
0.932292	0.846561	0.841270	0.841270
0.484277	0.264516	0.238372	0.233918
0.906504	0.788618	0.779116	0.779116
0.913386	0.850394	0.837209	0.837209
0.848000	0.760000	0.761538	0.765625
0.811765	0.541176	0.545455	0.545455
0.773333	0.604027	0.614379	0.621795
0.748634	0.420765	0.430851	0.439791
0.936620	0.851064	0.851064	0.847826
0.990909	0.972727	0.964912	0.957265
0.585106	0.244681	0.232323	0.232323
0.787879	0.643478	0.637931	0.639485
0.974359	0.947826	0.939655	0.939655
0.696203	0.398305	0.398305	0.399142
0.647260	0.343643	0.352349	0.357143
0.991379	0.974138	0.974576	0.974576
0.885714	0.757143	0.757143	0.757143
0.925373	0.865672	0.873239	0.873239
0.977778	0.916667	0.917910	0.917910
0.921348	0.897727	0.906977	0.909091
0.840426	0.621622	0.623656	0.611111
0.987654	0.962963	0.962963	0.962500
0.567901	0.278481	0.292683	0.292683
0.738095	0.390244	0.380952	0.409091
0.484211	0.043478	0.043478	0.043478
0.759259	0.400000	0.400000	0.400000
0.696970	0.369231	0.369231	0.369231
0.959596	0.885417	0.878788	0.878788
0.694268	0.451613	0.456250	0.442529
0.885714	0.725714	0.696809	0.698925
0.637255	0.138614	0.135922	0.135922
0.625000	0.184783	0.183784	0.189189
0.808333	0.611570	0.606557	0.606557
0.791045	0.530303	0.536232	0.515152
0.783133	0.666667	0.666667	0.666667
0.775862	0.614035	0.614035	0.618182
0.503546	0.071429	0.065359	0.070968
0.928571	0.857143	0.857143	0.855856
0.878981	0.788462	0.773810	0.787500
0.913462	0.871287	0.847619	0.844660
0.806667	0.594595	0.576923	0.569536
0.875000	0.712329	0.716216	0.722222
0.583815	0.140351	0.145251	0.146067
0.780488	0.622951	0.622951	0.616000
0.664894	0.313514	0.317708	0.322751
0.886667	0.753247	0.748387	0.743243
0.803226	0.645902	0.633441	0.625828
0.933824	0.840909	0.805755	0.805755
0.725146	0.479042	0.474286	0.456647
0.870968	0.745520	0.756667	0.750000
0.811912	0.627760	0.644970	0.636364
0.974747	0.929648	0.915423	0.915423
0.953488	0.901734	0.902857	0.904762
0.881988	0.800000	0.800000	0.802548
0.857143	0.515152	0.515152	0.514286
0.884615	0.646154	0.636364	0.656250
0.960000	0.837838	0.837838	0.835616
0.925234	0.757009	0.780952	0.780952
0.925234	0.757009	0.780952	0.780952
0.887850	0.735849	0.738318	0.752381
1.000000	0.888889	0.888889	0.888889
0.870968	0.806452	0.806452	0.806452
0.856061	0.454545	0.454545	0.461538
0.966887	0.881579	0.876623	0.886667
0.923077	0.839695	0.842105	0.840909
0.763780	0.200000	0.182456	0.178082
0.851852	0.777778	0.777778	0.777778
0.921429	0.742857	0.732394	0.730496
0.706767	0.250000	0.251852	0.248175
0.850746	0.698529	0.691176	0.700730
0.794521	0.602740	0.594595	0.589041
0.705882	0.470588	0.470588	0.470588
0.784946	0.537634	0.542553	0.548387
0.617647	0.277228	0.291262	0.291262
0.700000	0.350000	0.350000	0.333333
0.600000	0.400000	0.400000	0.400000
0.600000	0.150000	0.150000	0.157895
0.545455	0.181818	0.181818	0.181818
0.700000	0.181818	0.181818	0.181818
0.428571	0.071429	0.071429	0.071429
0.500000	NA	0.500000	0.500000
NA	NA	NA	NA
NA	NA	NA	NA
0.363636	0.181818	0.181818	0.111111
0.722222	0.666667	0.666667	0.666667
0.333333	NA	0.000000	0.000000
NA	NA	NA	NA
1.000000	NA	0.000000	0.000000
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
0.666667	0.281250	0.272727	0.272727
0.513514	0.189189	0.175000	0.179487
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
0.718750	0.531250	0.514286	0.500000
NA	NA	NA	NA
0.571429	0.315789	0.303797	0.307692
0.702703	0.160000	0.148148	0.146341
NA	NA	NA	NA
NA	NA	NA	NA
1.000000	NA	0.000000	0.000000
NA	NA	NA	NA
NA	NA	NA	NA
0.600000	0.090909	0.090909	0.090909
0.705882	0.058824	0.058824	0.058824
0.357143	0.214286	0.214286	0.214286
0.785714	0.530612	0.525253	0.520000
0.659091	0.232558	0.250000	0.250000
0.595506	0.122222	0.118280	0.115789
0.689655	0.258427	0.266667	0.274725
0.566372	0.267857	0.286957	0.280702
0.655914	0.411765	0.407407	0.398907
0.795082	0.537190	0.555556	0.551724
0.830645	0.611570	0.616000	0.620968
0.851852	0.725926	0.725926	0.717557
0.906780	0.786325	0.789916	0.784483
0.939815	0.778302	0.775229	0.772093
0.470000	0.171717	0.168317	0.173077
0.814159	0.584071	0.584071	0.584071
0.727273	0.539474	0.532468	0.539474
0.752381	0.476636	0.472222	0.472222
0.837037	0.560606	0.555556	0.557252
0.505495	0.007353	0.007326	0.007326
0.692308	0.246753	0.246753	0.246753
0.941176	0.716418	0.724638	0.728571
0.954545	0.908046	0.904255	0.906250
0.850000	0.687500	0.682927	0.646341
0.587912	0.221622	0.222222	0.222222
0.905063	0.854430	0.850000	0.850000
0.937853	0.858757	0.861878	0.866279
0.376238	0.039604	0.042105	0.042105
0.699187	0.525424	0.521008	0.516949
0.905473	0.787129	0.786070	0.787129
0.872000	0.699187	0.692913	0.690476
0.865385	0.735849	0.738739	0.738739
0.637615	0.169725	0.162996	0.162281
0.524823	0.021277	0.020000	0.020000
0.912621	0.819048	0.821429	0.828829
0.930693	0.864078	0.857143	0.854369
0.910448	0.848485	0.848485	0.858268
0.731707	0.490099	0.482927	0.510309
0.593220	0.294915	0.289037	0.300000
0.805085	0.773109	0.775000	0.773109
0.908257	0.816514	0.819820	0.818182
0.710526	0.529801	0.503106	0.506250
0.940594	0.862745	0.859813	0.859813
0.579832	0.008547	0.015625	0.015625
0.926829	0.750000	0.733333	0.733333
0.886076	0.734177	0.728395	0.738095
0.885714	0.733333	0.722222	0.722222
0.894040	0.807947	0.811688	0.812903
0.807692	0.660194	0.663462	0.657143
0.900901	0.819820	0.831933	0.820513
0.851485	0.720000	0.724138	0.734300
0.905405	0.805369	0.794702	0.796053
0.885496	0.834586	0.821429	0.821429
0.526316	0.009174	0.009153	0.009153
0.754601	0.481481	0.481928	0.488095
0.846535	0.721393	0.721393	0.715026
0.894977	0.628440	0.620370	0.620370
0.959459	0.890411	0.891892	0.890411
0.932836	0.825758	0.820144	0.817518
0.872340	0.681818	0.688889	0.688889
0.895522	0.733333	0.725926	0.725926
0.942857	0.828571	0.823204	0.823204
0.833333	0.676056	0.676056	0.671429
0.700000	0.632653	0.620000	0.620000
0.631068	0.210000	0.238095	0.243478
0.659574	0.483871	0.520000	0.520000
0.750000	0.547619	0.560976	0.560976
0.707692	0.492308	0.537190	0.537190
0.714286	0.520833	0.542553	0.533333
0.594595	0.296296	0.266129	0.264463
0.865546	0.766667	0.776000	0.771654
0.894737	0.760417	0.752577	0.747368
0.817204	0.494505	0.494505	0.505618
0.884615	0.734375	0.736434	0.744361
0.870370	0.542056	0.545455	0.545455
0.831776	0.688679	0.691589	0.685714
0.782805	0.587156	0.590090	0.585253
0.591716	0.220896	0.217877	0.196481
0.966292	0.886364	0.887640	0.886364
0.815789	0.675325	0.675325	0.675325
0.725490	0.588235	0.603774	0.607477
0.909091	0.815603	0.812500	0.805755
0.686047	0.370588	0.370787	0.372881
0.565217	0.217391	0.217391	0.217391
0.560000	0.061224	0.058824	0.058824
0.719745	0.371069	0.361963	0.354430
0.859155	0.724638	0.704225	0.700000
0.638889	0.055556	0.055556	0.055556
0.896552	0.666667	0.666667	0.714286
NA	NA	NA	NA
0.658098	0.411227	0.410783	0.392077
0.897388	0.805607	0.798903	0.798039
NA	NA	NA	NA
0.541509	0.063098	0.064151	0.065134
0.528626	0.038685	0.040076	0.040619
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
0.500000	NA	0.500000	0.500000
0.540146	0.248175	0.246377	0.236111
0.808743	0.652661	0.646409	0.645070
NA	NA	NA	NA
