ballc	wgbstools	dmpp_dedup	dmpp_bam
mCFrac	ENCFF790EEU.dedup	mean_meth	mean_meth
0.745902	0.745902	0.737143	0.736695
0.465116	0.463542	0.519062	0.518625
0.960474	0.960000	0.963265	0.956000
0.305344	0.306513	0.326446	0.316633
0.559233	0.559233	0.566176	0.573237
0.771725	0.774740	0.768519	0.772727
0.312127	0.312749	0.323467	0.324268
0.246418	0.251479	0.259386	0.254601
0.269231	0.270096	0.279070	0.276316
0.885057	0.885057	0.890196	0.891304
0.089286	0.089286	0.087542	0.096346
0.287736	0.287736	0.327044	0.327044
0.179931	0.177700	0.183746	0.181818
0.396825	0.398406	0.388430	0.393574
0.005814	0.002924	0.005814	0.005831
0.667763	0.667785	0.669118	0.669014
0.775100	0.775100	0.788382	0.786290
0.290625	0.290221	0.303887	0.326389
0.897638	0.897098	0.901907	0.901907
0.963883	0.963636	0.963303	0.962389
0.022346	0.020638	0.022000	0.023904
0.310241	0.312121	0.299035	0.296774
0.413255	0.410959	0.424307	0.417671
0.304063	0.302111	0.306407	0.318480
0.878917	0.879656	0.882006	0.888399
0.691892	0.693989	0.706897	0.711268
0.802030	0.810256	0.802111	0.801034
0.417840	0.418440	0.411192	0.423611
0.116564	0.117043	0.118503	0.126033
0.037296	0.029551	0.034146	0.032710
0.946176	0.948276	0.945455	0.943452
0.418301	0.419672	0.411972	0.411348
0.236162	0.236059	0.242775	0.250464
0.264045	0.255682	0.238411	0.248408
0.481013	0.478814	0.491228	0.473896
0.372973	0.373984	0.367403	0.371968
0.383333	0.384937	0.375000	0.372000
0.639024	0.638614	0.647668	0.639594
0.493023	0.490654	0.488152	0.500000
0.796364	0.797330	0.791026	0.792430
0.942363	0.941691	0.945946	0.944606
0.504162	0.502994	0.509950	0.502404
0.855355	0.856346	0.862832	0.862661
0.469388	0.469388	0.470588	0.473118
0.258264	0.258799	0.253829	0.256466
0.378505	0.378505	0.381643	0.382979
0.607143	0.608955	0.608974	0.620061
0.905155	0.906832	0.902808	0.904661
0.939394	0.939086	0.943005	0.941748
0.957068	0.956978	0.957871	0.954945
0.013530	0.013547	0.009309	0.011480
0.013356	0.013378	0.012346	0.012174
0.859599	0.864553	0.864307	0.863636
0.940594	0.940594	0.941476	0.941032
0.618343	0.617211	0.625387	0.619335
0.945092	0.946488	0.946918	0.944068
0.958678	0.958333	0.959654	0.956140
0.791045	0.793451	0.802667	0.797468
0.620623	0.621832	0.614907	0.602881
0.563567	0.563810	0.559761	0.559761
0.254162	0.251951	0.268116	0.267773
0.008503	0.008562	0.007055	0.008726
0.952646	0.955056	0.953757	0.955679
0.965079	0.967846	0.966667	0.964744
0.963942	0.963768	0.962500	0.960784
0.957871	0.959821	0.956621	0.955157
0.914692	0.914692	0.920000	0.910843
0.920375	0.920375	0.925558	0.916268
0.826531	0.826531	0.827465	0.828767
0.242222	0.242762	0.245413	0.248869
0.161100	0.161100	0.161088	0.156504
0.948630	0.951557	0.950178	0.949833
0.014831	0.014831	0.013636	0.012987
0.012766	0.012766	0.013304	0.012876
0.818402	0.819951	0.819095	0.815534
0.750442	0.750442	0.750000	0.743169
0.540490	0.541016	0.538922	0.554493
0.539326	0.536723	0.534615	0.549815
0.689008	0.689008	0.685393	0.678284
0.343085	0.342246	0.346049	0.348525
0.345821	0.344023	0.335366	0.352941
0.466960	0.488263	0.490476	0.478673
0.329412	0.329412	0.334171	0.325123
0.413747	0.413279	0.410765	0.433155
0.320557	0.320557	0.320000	0.318841
0.962704	0.963855	0.963325	0.962617
0.104317	0.105072	0.110266	0.110701
0.361624	0.359259	0.359504	0.364372
