ballc	wgbstools	dmpp_dedup	dmpp_bam
mCFrac	ENCFF980QLU.dedup	mean_meth	mean_meth
0.746615	0.505906	0.491379	0.485217
0.953405	0.824818	0.816393	0.807571
0.837321	0.598063	0.617582	0.606316
0.827731	0.632394	0.609254	0.599483
0.747222	0.497902	0.479899	0.468514
0.972973	0.955224	0.930748	0.931818
0.984127	0.942122	0.915761	0.912568
0.947103	0.915601	0.885246	0.889435
0.943590	0.892670	0.883951	0.885787
0.857724	0.658586	0.664107	0.663424
0.835000	0.655629	0.582744	0.608947
0.909774	0.794486	0.779343	0.790361
0.889262	0.760000	0.746269	0.738602
0.943289	0.881132	0.876076	0.871795
0.608889	0.241692	0.252468	0.241848
0.962185	0.918455	0.907063	0.909449
0.954733	0.932773	0.925781	0.932000
0.900000	0.818792	0.810559	0.825000
0.726872	0.433036	0.431452	0.445344
0.964865	0.940701	0.936585	0.933498
0.800948	0.593897	0.597285	0.585421
0.688755	0.350202	0.359073	0.343434
0.742424	0.385093	0.372832	0.370690
0.647668	0.340369	0.319712	0.321429
0.889423	0.837321	0.823789	0.824719
0.734789	0.515873	0.505036	0.495627
0.821053	0.595238	0.578049	0.573529
0.805769	0.564797	0.540395	0.537906
0.898520	0.808102	0.823077	0.824176
0.700637	0.394822	0.382271	0.402332
0.800643	0.607843	0.598338	0.600559
0.947867	0.897619	0.891593	0.885650
0.947853	0.844720	0.806180	0.806452
0.883117	0.827362	0.814465	0.818182
0.841241	0.673953	0.689884	0.695364
0.803220	0.611012	0.619200	0.617460
0.927954	0.885630	0.877551	0.864103
0.940000	0.891429	0.883905	0.891667
0.644592	0.245536	0.255670	0.276768
0.837429	0.687023	0.683544	0.688073
0.960784	0.906250	0.891139	0.894608
0.780190	0.428571	0.434783	0.433814
0.818493	0.627178	0.617021	0.607083
0.976898	0.940594	0.944272	0.936556
0.870647	0.748744	0.730088	0.746667
0.925466	0.843750	0.832335	0.842697
0.945946	0.886207	0.874608	0.855263
0.945355	0.910112	0.884058	0.877358
0.900000	0.720554	0.572711	0.584906
0.928082	0.878893	0.868852	0.870000
0.835366	0.713415	0.670213	0.658163
0.920530	0.802817	0.798658	0.800000
0.693333	0.348214	0.306338	0.301818
0.919014	0.818182	0.818182	0.804281
0.840336	0.731707	0.784615	0.780303
0.964602	0.910979	0.905172	0.908587
0.773438	0.596899	0.593525	0.582192
0.921769	0.830508	0.816860	0.813754
0.539326	0.101408	0.104972	0.119141
0.581250	0.194929	0.189189	0.177748
0.847619	0.668810	0.659639	0.657492
0.930131	0.855263	0.842294	0.846442
0.902778	0.805687	0.790598	0.787500
0.848649	0.751381	0.746411	0.756098
0.645669	0.231076	0.245902	0.264368
0.934659	0.895044	0.879581	0.887671
0.892774	0.796729	0.786325	0.786813
0.959732	0.908475	0.893293	0.901235
0.859649	0.764557	0.757212	0.748148
0.913725	0.839844	0.863787	0.865574
0.600000	0.427835	0.375479	0.356061
0.879699	0.745318	0.721831	0.711744
0.794076	0.498571	0.483444	0.475871
0.780669	0.649635	0.609756	0.627389
0.781250	0.595865	0.574225	0.580065
0.912651	0.814371	0.810959	0.818681
0.767152	0.527542	0.553345	0.536283
0.888298	0.751799	0.746774	0.756844
0.829897	0.647569	0.642968	0.658055
0.951860	0.896930	0.894531	0.895582
0.906091	0.843038	0.838863	0.840476
0.905512	0.809717	0.795222	0.780731
0.805825	0.539216	0.500000	0.491228
0.799472	0.510526	0.503480	0.505747
0.929515	0.868421	0.869403	0.868914
0.873377	0.666667	0.673981	0.669725
0.844037	0.619632	0.625000	0.620397
0.957399	0.919913	0.920160	0.906314
0.937500	0.872340	0.836735	0.833333
0.927536	0.852941	0.814286	0.811594
0.848485	0.654472	0.620438	0.611215
0.969555	0.938679	0.929825	0.931663
0.979747	0.947103	0.934685	0.935185
0.548701	0.022913	0.026316	0.022504
0.931548	0.875000	0.878788	0.879121
0.887955	0.802817	0.804124	0.812968
0.648936	0.220217	0.227586	0.227586
0.935484	0.881410	0.869444	0.885475
0.934066	0.806084	0.806748	0.801858
0.929461	0.810127	0.794118	0.792593
0.885886	0.814590	0.817439	0.805930
0.836177	0.750000	0.739683	0.750831
0.862500	0.822785	0.806122	0.821782
0.894737	0.794521	0.780488	0.787500
0.786096	0.602151	0.586207	0.593583
0.815385	0.612565	0.607843	0.615764
0.900794	0.805447	0.794224	0.790441
0.907692	0.784615	0.763359	0.755725
0.788618	0.614754	0.624060	0.604651
0.776316	0.636364	0.636364	0.636364
0.869565	0.739130	0.636364	0.657143
0.940000	0.820000	0.826923	0.820000
0.919643	0.873874	0.883929	0.883929
0.870370	0.672897	0.652542	0.649573
0.909091	0.800000	0.642857	0.642857
0.903226	0.689655	0.680851	0.692308
1.000000	0.875000	0.888889	0.888889
0.933333	0.833333	0.789474	0.842105
NA	NA	NA	NA
0.856250	0.670807	0.672619	0.687117
0.795918	0.617450	0.621951	0.647436
1.000000	1.000000	1.000000	1.000000
NA	NA	NA	NA
0.863636	0.761905	0.766667	0.733333
1.000000	1.000000	1.000000	0.937500
0.904762	0.800000	0.772021	0.773684
0.937500	0.812500	0.809524	0.750000
0.846821	0.720117	0.707447	0.709239
0.826087	0.732203	0.729231	0.713415
0.875000	0.419355	0.441176	0.451613
0.818182	0.636364	0.640625	0.634921
0.764706	0.666667	0.585366	0.619048
0.800000	0.444444	0.318182	0.318182
0.950000	0.756098	0.761905	0.777778
0.852113	0.690141	0.677632	0.695364
0.803279	0.745763	0.703125	0.701493
0.840000	0.744898	0.759259	0.758929
0.898678	0.843750	0.838057	0.840336
0.948276	0.905983	0.888889	0.888889
0.909385	0.769481	0.760870	0.750000
0.808989	0.590909	0.623762	0.611399
0.729412	0.441406	0.441176	0.444043
0.931765	0.840580	0.833693	0.828125
0.870098	0.651332	0.656613	0.651869
0.920792	0.882550	0.882175	0.873418
0.934307	0.837772	0.833333	0.832215
0.956012	0.933934	0.918539	0.919771
0.839637	0.768997	0.766712	0.778068
0.810127	0.670940	0.683206	0.680769
0.919014	0.851064	0.836991	0.837500
0.868056	0.805556	0.803922	0.793333
0.828571	0.700637	0.695652	0.693694
0.908784	0.795918	0.777448	0.777126
0.481100	0.045139	0.047458	0.037736
0.751152	0.537736	0.563559	0.556962
0.792308	0.557252	0.538206	0.537459
0.913183	0.844156	0.853659	0.854701
0.913043	0.842795	0.823333	0.837370
0.755352	0.568323	0.505650	0.514620
0.919571	0.872340	0.873206	0.879717
0.943431	0.899099	0.894118	0.888298
0.486111	0.037234	0.037277	0.044143
0.697674	0.452941	0.457386	0.454545
0.919598	0.864322	0.860190	0.871981
0.950139	0.887363	0.898851	0.893665
0.938776	0.873469	0.862069	0.866426
0.703782	0.317227	0.331439	0.317343
0.500000	0.038721	0.038095	0.035326
0.934555	0.887701	0.867925	0.873479
0.934375	0.872274	0.862573	0.855491
0.912371	0.839793	0.825553	0.818182
0.779468	0.659696	0.650709	0.646259
0.646512	0.364780	0.360115	0.358251
0.926290	0.842893	0.831050	0.836449
0.912429	0.854701	0.847328	0.851010
0.725714	0.418426	0.410959	0.419355
0.956204	0.930147	0.926282	0.917526
0.541076	0.185841	0.213650	0.211144
0.735695	0.552113	0.583569	0.583333
0.872222	0.710383	0.712121	0.693069
0.795918	0.666667	0.671171	0.677273
0.964789	0.905437	0.900881	0.896552
0.807692	0.643411	0.655629	0.646302
0.810811	0.670270	0.653465	0.673267
0.838346	0.687151	0.684300	0.680628
0.949900	0.902778	0.887868	0.887868
0.951020	0.893443	0.869128	0.877193
0.496879	0.003731	0.006472	0.006224
0.657188	0.360938	0.369048	0.348299
0.898438	0.807921	0.794643	0.797101
0.943966	0.788913	0.755597	0.766478
0.951220	0.878788	0.879781	0.878947
0.922886	0.823821	0.807095	0.810069
0.893082	0.787500	0.781609	0.759563
0.845272	0.713068	0.713198	0.713198
0.895216	0.769231	0.777132	0.776031
0.807843	0.641434	0.645283	0.652330
0.843931	0.726744	0.715847	0.711864
0.805797	0.667656	0.668394	0.653747
0.904255	0.823944	0.808050	0.810089
0.853774	0.760563	0.753304	0.752137
0.707865	0.444695	0.442266	0.439076
0.733333	0.422907	0.448000	0.431298
0.548507	0.176692	0.201807	0.161585
0.836207	0.673410	0.684358	0.677326
0.928339	0.866883	0.864615	0.854103
0.916667	0.830918	0.795745	0.804444
0.913265	0.770619	0.767033	0.763158
0.816456	0.394904	0.393162	0.402174
0.943060	0.868327	0.860465	0.862876
0.822355	0.692460	0.651724	0.648313
0.607930	0.099558	0.106719	0.112871
0.897764	0.798107	0.745763	0.740000
0.977186	0.932331	0.937282	0.935484
0.812950	0.630282	0.647929	0.652941
0.920635	0.829268	0.836120	0.836177
0.739203	0.399666	0.425039	0.404255
0.732759	0.260870	0.244681	0.264286
0.711061	0.278912	0.276316	0.273603
0.861314	0.684466	0.690745	0.687500
0.890845	0.828671	0.812121	0.810089
0.651731	0.306911	0.298276	0.288493
0.919255	0.901840	0.876404	0.868852
0.948718	0.860759	0.880000	0.895161
0.780726	0.587086	0.576263	0.525978
0.911779	0.819005	0.835738	0.839479
0.911111	0.911111	0.870370	0.870370
0.513536	0.107113	0.102789	0.104811
0.502979	0.099662	0.091566	0.094991
0.928571	0.853659	0.860000	0.863636
NA	NA	NA	NA
NA	NA	NA	NA
0.814815	0.740741	0.714286	0.714286
0.858462	0.653251	0.662921	0.655271
0.901394	0.798805	0.789522	0.796528
0.732143	0.089286	0.076923	0.067568
NA	NA	NA	NA
1.000000	0.875000	0.875000	0.888889
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
0.846995	0.663043	0.659574	0.643478
0.864407	0.737705	0.743590	0.743590
0.890411	0.786667	0.787234	0.782609
0.895911	0.684015	0.683386	0.686084
0.884120	0.808696	0.771318	0.781250
0.629630	0.363636	0.388235	0.378119
0.861386	0.698997	0.691020	0.698630
0.839442	0.668966	0.632466	0.649842
0.719064	0.395973	0.390390	0.385802
0.638621	0.268802	0.283044	0.279830
0.868243	0.725424	0.692529	0.695775
0.887097	0.836066	0.823529	0.834483
0.710317	0.481781	0.425087	0.435714
0.846639	0.597872	0.634328	0.618875
0.683636	0.533333	0.536913	0.513932
0.860000	0.821138	0.823077	0.825581
0.834356	0.677215	0.670659	0.695652
0.812500	0.607595	0.603922	0.620408
0.900850	0.797143	0.802993	0.806452
0.868512	0.777778	0.767516	0.775316
0.877863	0.692607	0.689895	0.684932
0.791855	0.616438	0.605691	0.614458
0.870293	0.762500	0.761733	0.759259
0.727592	0.405018	0.370662	0.368902
0.564748	0.272085	0.274052	0.280453
0.949881	0.857820	0.833689	0.832609
0.921569	0.855000	0.844340	0.844749
0.821053	0.615789	0.607306	0.606635
0.715447	0.491870	0.498099	0.507407
0.611940	0.241509	0.213166	0.218845
0.463504	0.051002	0.054400	0.056075
0.902597	0.755776	0.763006	0.752239
0.679012	0.275000	0.314607	0.327068
0.809955	0.608295	0.611607	0.600000
0.866109	0.703390	0.710145	0.704545
0.893333	0.824916	0.822823	0.818991
0.722135	0.323200	0.300000	0.303745
0.902200	0.802956	0.793981	0.788321
0.747863	0.456522	0.426923	0.440741
0.719198	0.394886	0.402667	0.377309
0.859375	0.721875	0.706061	0.708333
0.927536	0.852941	0.846561	0.846561
